quarter,ticker,company_name,exchange,sector,industry,is_vn30,close_price,quarter_return,return_1m,return_3m,return_6m,rsi14,volatility_63d,volume_avg,trading_value_avg,technical_score,fundamental_score,valuation_score,liquidity_score,risk_score,total_signal_score,signal_class,risk_level,base_total_signal_score,base_signal_class,vn30_return,vnindex_return,relative_strength_vs_vnindex,relative_strength_vs_vn30,relative_strength_score
2023Q1,STB,Sacombank,HOSE,Banking,Commercial Bank,1,26.2,11.49,2.34,19.63,29.06,60.17,41.04,18135204.41,455844556.66,100,50,50,100.0,20.0,70.0,Positive Signal,High Risk,69.5,Positive Signal,2.52,1.99,9.5,8.97,80
2023Q1,POW,PV Power,HOSE,Utilities,Power Generation,1,10.91,19.5,3.9,28.2,2.73,50.91,31.99,8485244.14,87119851.86,100,50,50,76.67,50.0,71.5,Positive Signal,Medium Risk,69.0,Positive Signal,2.52,1.99,17.51,16.98,100
2023Q1,VPB,VPBank,HOSE,Banking,Commercial Bank,1,18.22,13.8,21.63,22.36,13.8,76.98,34.21,19840051.83,326954488.66,85,50,50,93.33,43.33,69.58,Positive Signal,Medium Risk,66.33,Positive Signal,2.52,1.99,11.81,11.28,100
2023Q1,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,28.54,5.16,12.81,20.37,10.07,55.26,38.27,2272131.63,62655158.3,100,50,50,60.0,26.67,62.67,Neutral,Medium Risk,64.17,Neutral,2.52,1.99,3.17,2.64,60
2023Q1,ACB,ACB,HOSE,Banking,Commercial Bank,1,12.63,10.11,-0.16,13.17,13.68,57.56,28.17,3566417.1,44409970.5,90,50,50,43.33,73.33,64.33,Neutral,Medium Risk,63.33,Neutral,2.52,1.99,8.12,7.59,80
2023Q1,HDB,HDBank,HOSE,Banking,Commercial Bank,1,9.8,16.67,6.99,18.5,0.51,57.62,31.2,2280390.24,20926505.18,100,50,50,16.67,60.0,63.5,Neutral,Medium Risk,61.0,Neutral,2.52,1.99,14.68,14.15,100
2023Q1,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,17.92,4.25,5.04,12.07,25.31,48.78,28.63,2788849.71,49995911.65,75,50,50,53.33,70.0,59.75,Neutral,Medium Risk,60.0,Neutral,2.52,1.99,2.26,1.73,60
2023Q1,TPB,TPBank,HOSE,Banking,Commercial Bank,1,11.48,12.44,3.52,17.26,-0.09,54.76,32.23,5719678.42,63775880.86,75,50,50,63.33,46.67,62.92,Neutral,Medium Risk,59.17,Neutral,2.52,1.99,10.45,9.92,100
2023Q1,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,49.59,4.25,25.29,9.57,0.57,71.55,36.84,2341769.9,102829644.23,65,50,50,86.67,33.33,58.58,Neutral,Medium Risk,58.33,Neutral,2.52,1.99,2.26,1.73,60
2023Q1,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,9.89,1.44,4.88,8.68,,65.65,27.18,8336053.32,82451232.0,55,50,50,70.0,80.0,56.25,Neutral,Medium Risk,57.5,Neutral,2.52,1.99,-0.55,-1.08,40
